ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2000,"","Better look around here some more.","再稍微調查一下這一帶吧。","","좀 더 이 주변을 조사해 보자","Ich sollte mich lieber noch weiter umsehen."
114,2000,"","This should be enough of investigating
keyword [2[k12]].","關於關鍵字【[2[k12]]】的調查，
應該這樣就行了吧。","","키워드 【[2[k12]]】에 관한 조사는
이 정도면 충분하겠지","Das sollte zum Stichwort [2[k12]]
reichen."
200,2000,"","Obtained Digimon Medal
""[d0]!""","得到數碼寶貝獎牌「[d0]」了！","","디지몬 메달「[d0]」
를(을) 손에 넣었다!","Digimon-Medaille „[d0]“
erhalten!"
300,2000,"","I have too much on me... I can't carry anything
else. Better rearrange my stuff and come again.","持有物太多，沒辦法再拿了……
先整理一下再來吧。","","소지품이 너무 많아서 이 이상 가질 수 없어…
정리하고서 다시 오자","Ich habe zu viel dabei und kann nichts mehr
tragen. Ich sollte meine Sachen ordnen und dann
wiederkommen."
400,2000,"","I don't have the cash...
Maybe next time.","現金不足……
下次再買吧。","","돈이 부족해…
다음 기회로 미루자","Ich habe nicht genug Geld ...
Vielleicht nächstes Mal."
500,2000,"","No room for this medal...","這個獎牌的持有數已經到達上限，
所以只能忍痛丟棄了……","","이 메달은 더 이상 가질 수 없어서
버렸다…","Kein Platz für diese Medaille ..."
600,4230,"","Ohh, are you here to give me a medal, too?","喔！你也拿「獎牌」來給我啦！？","","앗! 너도「메달」을 가져와
준 거니!?","Oh, bist du auch hier, um mir eine Medaille zu
bringen?"
601,4230,"","...What kind of medals, you ask!
Digimon Medals, as if there was any other kind!","什麼的「獎牌」？
當然是「數碼寶貝獎牌」囉！","","…무슨「메달」이냐고?
그야 너,「디지몬 메달」인 게
당연하잖아!","... Was für Medaillen, fragst du?
Digimon-Medaillen natürlich, was denn sonst!"
602,4230,"","Collecting Digimon Medals is my dream!
It's my life! It's my everything!!!","大叔我的夢想就是收集「數碼寶貝獎牌」！
那是大叔我的人生！大叔我的一切！","","「디지몬 메달」모으기는, 아저씨의 꿈!
아저씨의 인생! 아저씨의 전부!","Digimon-Medaillen sammeln ist mein großer Traum!
Mein Leben! Mein Ein und Alles!"
603,4230,"","That's why I'm known as...the ""Medal Man""!","沒錯！大家都叫我做「獎牌大叔」！","","그래! 아저씨는 이름하여「메달 아저씨」!","Deshalb kennt man mich als den ...
Medaillensammler!"
604,4230,"","Sooo, if you come across any Digimon Medals,
bring them to me and I'll gladly buy them off you!","因此，
只要你拿「數碼寶貝獎牌」來找我，
我就會花錢跟你收購，請多指教啦～","","…그러니
「디지몬 메달」을 가져와 주면
아저씨가 매입해 줄 테니까, 잘 부탁해~","Wenn dir also Digimon-Medaillen unterkommen,
dann bring sie her und ich kaufe sie dir gerne ab!"
610,4230,"","So? Have you got any medals for me?","如何？你有在收集獎牌嗎？","","어때? 메달, 잘 모으고 있어?","Na? Hast du Medaillen für mich?"
620,4230,"","...I know you're holding out on me.","我等你拿獎牌來哦。","","…메달, 기다릴게","... Ich weiß, dass du mir was vorenthältst."
630,4230,"","Heheh, so you want to see my collection.
...Don't tell my wife, okay?","呵呵呵，你想看我的收藏品嗎？
……不可以告訴我老婆哦。","","우후후, 아저씨의 콜렉션이 보고 싶니?
…마누라에게는 비밀이야","Hihi, du willst also meine Sammlung sehen.
Sag meiner Frau nichts davon, ja?"
640,4230,"","Someday, I'll collect them all...all 500...
With your help, I'm one step closer...!","總有一天，我會將所有的獎牌……
一共500種全部收集完整的。
今後也要麻煩你多多幫忙了，呵呵呵。","","언젠가, 금메달…
500종류 전부 다 컴플리트하고 말겠어
앞으로도 협력 잘 부탁해, 우후후","Eines Tages werde ich sie alle haben ... alle 500.
Dank dir bin ich dem einen Schritt näher ...!"
650,4230,"","If you come across any medals, bring them to me!
I'll give you the best price around! Promise!
...Don't tell my wife, okay?","如果有得到獎牌，就拿來給我吧。
我會高價向你收購的。
……這件事可別告訴我老婆啊。","","메달을 손에 넣으면 가져와 줘
아저씨가, 고가로 매입해 줄 테니까
…마누라에게는 비밀로 말이야","Wenn du Medaillen findest, dann bring sie mir!
Ich zahle dir den besten Preis, versprochen!
Aber sag meiner Frau nichts, ja?"
