id,nameId?,Unk2_1,Unk2_2,Unk3_1,Unk3_2,Unk4_1,Unk4_2,Unk5,Unk6_1,Unk6_2,Unk7_1,Unk7_2,Unk8_1,Unk8_2,Unk9,Unk10_1,Unk10_2,Unk11_1,Unk11_2,Unk12_1,Unk12_2,Unk13,Unk14_1,Unk14_2,Unk15_1,Unk15_2,Unk16_1,Unk16_2,Unk17,Unk18_1,Unk18_2,Unk19_1,Unk19_2,Unk20_1,Unk20_2,Unk21,Unk22_1,Unk22_2,Unk23_1,Unk23_2,Unk24_1,Unk24_2,Unk25,Unk26_1,Unk26_2,Unk27_1,Unk27_2,Unk28_1,Unk28_2,Unk29,Unk30_1,Unk30_2,Unk31_1,Unk31_2,Unk32_1,Unk32_2,Unk33,Unk34_1,Unk34_2,Unk35_1,Unk35_2,Unk36_1,Unk36_2,Unk37,Unk38_1,Unk38_2,Unk39,Unk40
91,1098,0,0,10,0,0,0,1009,0,0,10,0,0,0,1183,0,0,10,0,0,0,1287,0,0,10,0,0,0,3029,0,0,10,0,0,0,3118,0,0,10,0,0,0,1188,0,0,10,0,0,0,1099,0,0,10,0,0,0,3004,0,0,10,0,0,0,1087,0,0,10,0
92,1074,0,0,10,0,0,0,1300,0,0,10,0,0,0,3137,0,0,10,0,0,0,3065,0,0,10,0,0,0,1363,0,0,10,0,0,0,3112,0,0,10,0,0,0,1365,0,0,10,0,0,0,3036,0,0,10,0,0,0,1274,0,0,10,0,0,0,1060,0,0,10,0
101,3070,0,0,10,0,0,0,1162,0,0,10,0,0,0,1182,0,0,10,0,0,0,1019,0,0,10,0,0,0,1248,0,0,10,0,0,0,1225,0,0,10,0,0,0,1125,0,0,10,0,0,0,1023,0,0,10,0,0,0,1126,0,0,10,0,0,0,1020,0,0,10,0
102,1245,0,0,10,0,0,0,1094,0,0,10,0,0,0,3087,0,0,10,0,0,0,1257,0,0,10,0,0,0,1081,0,0,10,0,0,0,3057,0,0,10,0,0,0,3073,0,0,10,0,0,0,3052,0,0,10,0,0,0,3068,0,0,10,0,0,0,1369,0,0,10,0
103,3112,0,0,10,0,0,0,3127,0,0,10,0,0,0,1021,0,0,10,0,0,0,3032,0,0,10,0,0,0,1198,0,0,10,0,0,0,3101,0,0,10,0,0,0,1331,0,0,10,0,0,0,3070,0,0,10,0,0,0,1351,0,0,10,0,0,0,1090,0,0,10,0
104,1144,0,0,10,0,0,0,1020,0,0,10,0,0,0,1057,0,0,10,0,0,0,1370,0,0,10,0,0,0,1032,0,0,10,0,0,0,3101,0,0,10,0,0,0,1304,0,0,10,0,0,0,1027,0,0,10,0,0,0,1342,0,0,10,0,0,0,1017,0,0,10,0
121,3068,0,0,10,0,0,0,1062,0,0,10,0,0,0,1068,0,0,10,0,0,0,1369,0,0,10,0,0,0,1247,0,0,10,0,0,0,3073,0,0,10,0,0,0,1354,0,0,10,0,0,0,1029,0,0,10,0,0,0,3007,0,0,10,0,0,0,1035,0,0,10,0
122,1201,0,0,10,0,0,0,1017,0,0,10,0,0,0,1228,0,0,10,0,0,0,1307,0,0,10,0,0,0,3074,0,0,10,0,0,0,1380,0,0,10,0,0,0,1017,0,0,10,0,0,0,1316,0,0,10,0,0,0,1006,0,0,10,0,0,0,3112,0,0,10,0
123,3109,0,0,10,0,0,0,1119,0,0,10,0,0,0,3135,0,0,10,0,0,0,1309,0,0,10,0,0,0,3101,0,0,10,0,0,0,1295,0,0,10,0,0,0,1301,0,0,10,0,0,0,3046,0,0,10,0,0,0,3125,0,0,10,0,0,0,1044,0,0,10,0
131,1243,0,0,10,0,0,0,1331,0,0,10,0,0,0,1091,0,0,10,0,0,0,3026,0,0,10,0,0,0,1105,0,0,10,0,0,0,1232,0,0,10,0,0,0,1241,0,0,10,0,0,0,1122,0,0,10,0,0,0,1379,0,0,10,0,0,0,1303,0,0,10,0
132,3005,0,0,10,0,0,0,1045,0,0,10,0,0,0,1244,0,0,10,0,0,0,3077,0,0,10,0,0,0,1029,0,0,10,0,0,0,1311,0,0,10,0,0,0,1352,0,0,10,0,0,0,3008,0,0,10,0,0,0,3035,0,0,10,0,0,0,1142,0,0,10,0
141,1318,0,0,10,0,0,0,1164,0,0,10,0,0,0,3016,0,0,10,0,0,0,1277,0,0,10,0,0,0,1115,0,0,10,0,0,0,1255,0,0,10,0,0,0,1159,0,0,10,0,0,0,1250,0,0,10,0,0,0,1315,0,0,10,0,0,0,1063,0,0,10,0
142,1173,0,0,10,0,0,0,1148,0,0,10,0,0,0,1157,0,0,10,0,0,0,1338,0,0,10,0,0,0,1224,0,0,10,0,0,0,1163,0,0,10,0,0,0,3020,0,0,10,0,0,0,3048,0,0,10,0,0,0,3082,0,0,10,0,0,0,1328,0,0,10,0
143,3107,0,0,10,0,0,0,3078,0,0,10,0,0,0,3105,0,0,10,0,0,0,1034,0,0,10,0,0,0,1303,0,0,10,0,0,0,1214,0,0,10,0,0,0,1119,0,0,10,0,0,0,1344,0,0,10,0,0,0,1029,0,0,10,0,0,0,3123,0,0,10,0
151,1226,0,0,10,0,0,0,1198,0,0,10,0,0,0,1060,0,0,10,0,0,0,1170,0,0,10,0,0,0,3130,0,0,10,0,0,0,1071,0,0,10,0,0,0,3055,0,0,10,0,0,0,1348,0,0,10,0,0,0,1013,0,0,10,0,0,0,1118,0,0,10,0
