ID,boneName,xOffset,yOffset,zOffset,xRotation,yRotation,zRotation,scale
9,"J_center",0,0.76,0,0,0,0,0.75
10,"J_head",0,0.65,0,350,0,0,0.5
12,"J_head",0,0.38,0,10,0,0,1
13,"J_head",0,0.9,0.2,0,0,0,1.1
14,"body",0,1.25,0.465,0,0,0,0.8
15,"head",0,0.23,0.02,10,0,0,0.6
21,"J_head",0,1.21,0.8,7,0,0,1.5
24,"J_head",0,0.68,0,0,0,0,0.4
27,"J_head",0,0.3,0.04,0,0,0,0.7
34,"J_head",0,0.275,0.05,0,0,0,0.4
35,"J_head",0,0.2,0.03,0,0,0,0.45
36,"J_head",0,0.33,0.05,0,0,0,0.7
37,"J_haed",0,1.8,0.4,0,0,0,1.5
38,"J_head",0,0.55,0,0,0,0,0.7
39,"J_hed",0,0.31,0,0,0,0,0.5
40,"J_head",0,0.48,0,0,0,0,0.8
43,"J_head",0,0.55,0,350,0,0,0.7
49,"J_head",0,0.67,0,10,0,0,0.42
50,"J_head",0,0.55,-0.06,350,0,0,0.55
53,"J_head",0,0.2,0.2,0,0,0,0.33
54,"J_haed",0,0.96,-0.04,340,0,0,1
55,"J_joint12",0,0.55,0,0,0,0,0.7
56,"J_joint6",0.24,0.4,-0.04,340,0,320,0.4
57,"J_joint12",0,0.47,0,0,0,0,0.4
58,"J_head",0,0.47,0.2,10,0,0,0.4
61,"J_head",0,0.93,0,0,0,0,0.6
68,"J_head",0,0.24,0.3,10,0,0,0.8
69,"J_head",0,1.1,0.2,350,0,0,0.8
70,"J_head",0,1.1,0.2,350,0,0,0.8
71,"J_head",0,0.45,0,0,0,0,0.7
72,"J_neck",0,0.73,0,0,0,0,0.5
73,"J_head",0,0.53,0.01,0,0,0,0.6
74,"J_jnt_hd0",0,0.44,0,340,0,0,0.58
77,"head",0,0.54,0.33,340,0,0,0.7
78,"J_head",0,0.53,0.1,350,0,0,0.8
79,"body",0,1.25,0.465,0,0,0,0.8
81,"J_head",0,0.65,-0.05,355,0,0,0.5
84,"J_head",0,0.72,0.2,0,0,0,0.7
85,"J_head",0,0.33,0.05,0,0,0,0.4
86,"J_head",0,0.2,0,10,0,0,0.5
87,"J_neck",0,0.4,0,0,0,0,0.5
88,"J_head",0,0.2,0.01,10,0,0,0.45
90,"J_head",0,0.39,0,0,0,0,0.5
91,"J_head",0,0.29,0,0,0,0,0.6
92,"J_head",0,0.55,0,350,0,0,0.7
93,"J_head",0,0.4,0,0,0,0,0.5
94,"J_head",0,0.26,0,340,0,0,0.5
95,"J_head",0,0.36,0,340,0,0,0.5
96,"J_neck",0,0.35,-0.1,0,0,0,0.4
97,"J_center",0,0.48,0,0,0,0,0.5
101,"J_head",0,0.62,0.05,0,0,0,0.4
107,"J_head",0,0.36,0,0,350,0,0.45
111,"J_head",0,0.67,0.1,350,0,0,0.8
112,"J_atama",0,0.3,0.15,20,0,0,0.5
113,"J_head",0,1.1,0.2,350,0,0,0.8
114,"J_neck",0,0.037,0,0,0,0,0.7
126,"J_head",0,0.24,0,350,0,0,0.4
132,"J_head",0,0.39,-0.02,0,0,0,0.8
134,"J_head_1",0,0.68,0.15,350,0,0,0.8
135,"J_head",0,0.27,0.2,0,0,0,0.8
140,"J_head",0,0.43,0.1,350,0,0,0.7
143,"J_head",0,0.55,-0.06,350,0,0,0.55
148,"J_head",0,0.45,0.05,0,0,0,0.4
150,"J_head",0,0.24,0,350,0,0,0.4
151,"J_head",0,0.52,0.1,340,0,0,0.6
175,"J_head",0,0.3,0.04,0,0,0,0.7
177,"J_head",0,0.65,0,350,0,0,0.5
182,"J_head",0,0.27,0.2,0,0,0,0.8
215,"J_head",0,0.3,0.21,350,0,0,0.8
301,"J_atama",0,0.64,0.3,0,0,0,0.8
302,"J_atama",0,0.34,0.1,350,0,0,1.2
303,"J_atama",0,0.31,0.15,0,0,0,0.4
304,"J_atama",0,0.61,0.34,10,0,0,0.6
305,"J_atama",0,0.43,0.51,10,0,0,0.8
306,"J_atama",0,0.63,0.2,0,0,0,0.8
307,"J_atama",0,0.66,-0.1,0,0,0,0.5
308,"J_head",0,0.02,0.5,20,0,0,0.5
309,"J_head",0,0.53,0.1,0,0,0,0.8
310,"J_head",0,0.37,0.6,10,0,0,0.6
311,"J_kao",0,0.026,0.02,20,0,0,0.7
312,"J_kao",0,0.03,0,0,0,0,0.8
313,"J_hed1",0,0.47,0,20,0,0,1
314,"J_atama",0,0.03,0.003,0,0,0,0.6
315,"J_atama",0,0.35,0.04,10,0,0,0.55
317,"J_center",0,0.02,-0.19,266,0,0,0.8
320,"J_body2",0,0.05,-0.05,340,0,0,0.7
321,"J_center",0,0.36,0.1,350,0,0,0.7
322,"J_ue_ago",0,0.26,0,0,0,0,0.7
325,"J_uwago",0,0.11,0.15,10,0,0,0.7
326,"J_haed",0,1.1,0.2,0,0,0,1
