ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","HP Capsule C","HP膠囊C","","HP캡슐 C","TP-Kapsel C"
2,"","HP Capsule B","HP膠囊B","","HP캡슐 B","TP-Kapsel B"
3,"","HP Capsule A","HP膠囊A","","HP캡슐 A","TP-Kapsel A"
4,"","HP Spray C","HP噴霧C","","HP스프레이 C","TP-Spray C"
5,"","HP Spray B","HP噴霧B","","HP스프레이 B","TP-Spray B"
6,"","HP Spray A","HP噴霧A","","HP스프레이 A","TP-Spray A"
7,"","SP Capsule C","SP膠囊C","","SP캡슐 C","SP-Kapsel C"
8,"","SP Capsule B","SP膠囊B","","SP캡슐 B","SP-Kapsel B"
9,"","SP Capsule A","SP膠囊A","","SP캡슐 A","SP-Kapsel A"
10,"","SP Spray B","SP噴霧B","","SP스프레이 B","SP-Spray B"
11,"","SP Spray A","SP噴霧A","","SP스프레이 A","SP-Spray A"
12,"","Medical Spray","醫療噴霧","","메디컬 스프레이","Medizinisches Spray"
13,"","Medical Spray DX","醫療噴霧DX","","메디컬 스프레이 DX","Medizinisches Spray DX"
14,"","Poison Recovery","劇毒復原","","포이즌 리커버리","Giftheilung"
15,"","Panic Recovery","混亂復原","","패닉 리커버리","Panikheilung"
16,"","Paralysis Recovery","麻痺復原","","패럴라이즈 리커버리","Lähmungsheilung"
17,"","Sleep Recovery","睡眠復原","","슬립 리커버리","Schlafheilung"
18,"","Stun Recovery","暈眩復原","","스턴 리커버리","Betäubungsheilung"
19,"","Sprite Recovery","液晶化復原","","도트 리커버리","Sprite-Heilung"
20,"","Bug Recovery","Bug復原","","버그 리커버리","Fehlerheilung"
21,"","Multi-Recovery","萬能復原","","멀티 리커버리","Multiheilung"
22,"","Multi-Recovery DX","萬能復原DX","","멀티 리커버리 DX","Multiheilung DX"
23,"","Revival Capsule","復活膠囊","","리바이브 리커버리","Wiederbelebungskapsel"
24,"","Revival Capsule DX","復活膠囊DX","","리바이브 리커버리 DX","Wiederbelebungskapsel DX"
25,"","Full Revival Spray","完全復活噴霧","","풀 리바이브 스프레이","Wiederbelebungs-Spray"
26,"","ATK Boost","ATK增幅器","","ATK 부스트","ANG-Boost"
27,"","DEF Boost","DEF增幅器","","DEF 부스트","VER-Boost"
28,"","INT Boost","INT增幅器","","INT 부스트","INT-Boost"
29,"","SPD Boost","SPD增幅器","","SPD 부스트","GES-Boost"
30,"","HIT Boost","HIT增幅器","","HIT 부스트","TRE-Boost"
31,"","AGL Boost","AGL增幅器","","AGL 부스트","GEW-Boost"
32,"","CRT Boost","CRT增幅器","","CRT 부스트","KRT-Boost"
33,"","Escape Gate","ESCAPE GATE","","이스케이프 게이트","Fluchttor"
50,"","Brave Point E","勇氣值E","","브레이브 포인트 E","Mutpunkt E"
51,"","Brave Point D","勇氣值D","","브레이브 포인트 D","Mutpunkt D"
52,"","Brave Point C","勇氣值C","","브레이브 포인트 C","Mutpunkt C"
53,"","Brave Point B","勇氣值B","","브레이브 포인트 B","Mutpunkt B"
54,"","Brave Point A","勇氣值A","","브레이브 포인트 A","Mutpunkt A"
55,"","Friendship","友情","","프렌드십","Freundschaft"
56,"","Friendship DX","友情DX","","프렌드십 DX","Freundschaft DX"
57,"","Home Gate","HOME GATE","","홈 게이트","Heimattor"
58,"","Export","EXPORT","","익스포트","Export"
60,"","Digi-Egg of Courage","勇氣裝甲","","용기의 디지멘탈","Digi-Ei des Mutes"
61,"","Digi-Egg of Miracles","奇蹟裝甲","","기적의 디지멘탈","Digi-Ei der Wunder"
62,"","Digi-Egg of Destiny","命運裝甲","","운명의 디지멘탈","Digi-Ei des Schicksals"
63,"","Omni Sword","奧米加之劍","","오메가 블레이드","Omnischwert"
64,"","Human Spirit of Flame","火焰人類鬥士精神","","화염의 휴먼 스피릿","Menschfeuergeist"
65,"","Beast Spirit of Flame","火焰野獸鬥士精神","","화염의 비스트 스피릿","Bestienfeuergeist"
66,"","Human Spirit of Light","光之人類鬥士精神","","빛의 휴먼 스피릿","Menschlichtgeist"
67,"","Beast Spirit of Light","光之野獸鬥士精神","","빛의 비스트 스피릿","Bestienlichtgeist"
68,"","Digivolution Item 9","進化用道具9","","진화용 아이템 9","Digitations-Item 9"
69,"","Digivolution Item 10","進化用道具10","","진화용 아이템 10","Digitations-Item 10"
70,"","Topaz","黃玉","","토파즈","Topas"
71,"","Pearl","珍珠","","펄","Perle"
72,"","Aquamarine","海藍寶石","","아쿠아마린","Aquamarin"
73,"","Jade","翡翠","","비취","Jade"
74,"","Alexandrite","變石","","알렉산드라이트","Alexandrit"
75,"","Ruby","紅寶石","","루비","Rubin"
76,"","Sapphire","藍寶石","","사파이어","Saphir"
77,"","Emerald","祖母綠","","에메랄드","Smaragd"
78,"","Diamond","鑽石","","다이아몬드","Diamant"
79,"","Chrome Digizoid","數碼合金","","크롬디지조이트","Chrom-Digizoid"
90,"","Memory UP","上限提升","","메모리 업","Speicher-UP"
91,"","Memory UP DX","上限提升DX","","메모리 업 DX","Speicher-UP DX"
100,"","Durability Patch","耐久型修正檔","","내구형 패치","Haltbarkeits-Patch"
101,"","Lively Patch","活力型修正檔","","활력형 패치","Lebendiger Patch"
