id,digi1,digi2,digi3,digi4,digi5,digi6
629,402,409,426,730,409,679
387,590,759,346,92,310,53
437,190,83,731,439,308,59
317,10,2,12,510,515,439
320,405,69,114,112,21,118
62,409,452,742,733,423,182
322,310,783,721,701,364,327
512,600,626,19,60,452,393
438,700,778,84,193,742,429
631,438,127,327,218,719,6
325,675,389,408,548,344,630
515,118,56,715,416,379,16
567,374,175,374,457,104,113
510,407,595,95,115,55,744
514,582,676,778,683,79,328
388,718,65,54,25,349,401
321,6,420,166,389,419,730
50,132,782,112,2,416,347
143,193,747,727,679,54,450
63,773,733,745,315,81,383
707,182,680,32,404,12,394
81,688,419,68,455,112,607
564,698,44,739,406,209,175
582,177,132,702,6,193,344
55,73,779,567,423,47,721
569,14,757,569,32,728,44
151,12,93,342,731,453,70
713,740,688,36,687,750,94
90,166,345,751,303,347,306
53,728,706,398,403,211,349
626,191,712,676,104,6,92
595,753,37,118,43,398,757
111,87,413,27,766,326,313
343,399,383,454,95,376,215
709,397,396,419,61,774,754
697,451,348,683,68,425,419
166,377,751,26,778,722,213
20,383,40,115,407,748,723
701,714,576,758,349,208,385
303,392,701,177,678,69,423
708,40,312,629,31,699,731
457,777,382,404,364,777,758
208,385,10,630,369,39,61
112,41,675,303,182,781,739
9,4,328,678,709,134,680
96,745,86,439,739,341,85
687,82,34,191,383,135,79
348,27,47,127,584,87,88
97,715,422,42,758,48,417
307,766,766,113,84,34,681
705,209,752,698,310,365,713
42,782,178,312,13,626,68
114,596,32,379,732,49,710
178,344,427,774,12,407,367
389,178,36,48,208,73,126
706,453,722,313,314,732,75
607,327,402,211,96,424,305
458,621,515,440,359,388,711
56,91,411,710,595,62,34
390,210,41,65,454,90,369
2,748,23,96,713,700,62
391,75,721,391,5,600,437
750,712,68,392,621,698,210
392,304,742,70,677,315,716
190,514,97,714,307,115,406
781,452,35,69,600,749,40
782,5,744,399,753,114,35
730,134,25,782,720,435,454
758,309,716,451,743,439,421
15,434,308,387,85,632,314
676,370,512,209,20,126,58
64,721,303,421,729,387,455
711,347,773,425,722,510,64
344,682,426,325,73,911,712
377,784,115,427,451,64,425
680,627,306,740,24,175,390
393,37,13,78,382,32,408
11,703,342,675,438,395,63
365,584,458,321,83,754,626
87,701,405,50,747,19,49
394,59,388,128,682,412,211
341,60,75,743,16,327,102
760,772,14,81,88,359,193
68,427,679,453,9,317,416
304,548,375,407,784,210,47
455,126,16,13,341,72,752
710,510,374,402,80,36,747
12,711,150,82,69,37,27
714,39,438,43,36,31,38
395,47,453,305,751,411,776
78,363,55,363,367,454,151
630,726,370,39,698,512,57
326,394,363,135,385,705,715
712,97,392,596,370,94,718
398,36,210,107,312,63,457
