id,digimonId,unknown1,price,level,unknown3
1,629,1,2500,1,3600
2,387,2,2500,1,3600
3,437,3,2500,1,3600
4,317,4,2500,1,3600
5,320,5,2500,1,3600
6,567,8,3500,3,3600
7,512,6,3500,3,3600
8,515,7,3500,3,3600
9,321,10,3500,3,3600
10,514,9,3500,3,3600
11,709,17,4800,5,3600
12,708,18,4800,5,3600
13,564,12,4800,5,3600
14,90,15,5000,5,3600
15,348,19,5000,5,3600
16,705,21,5000,5,3600
17,81,11,5000,10,3600
18,53,16,6000,10,3600
19,55,13,6000,10,3600
20,569,14,6000,10,3600
21,97,20,6000,10,3600
22,314,29,9000,10,3600
23,590,32,9000,10,3600
24,10,30,9000,10,3600
25,759,27,9000,10,3600
26,710,24,9000,10,3600
27,548,31,9000,10,3600
28,377,23,15000,10,3600
29,15,22,15000,10,3600
30,54,26,15000,10,3600
31,113,25,55000,25,3600
32,752,28,65000,25,3600
33,412,39,50000,15,3600
34,411,38,50000,15,3600
35,379,33,65000,15,3600
36,410,36,65000,15,3600
37,409,35,80000,20,3600
38,107,41,80000,20,3600
39,302,40,80000,20,3600
40,576,34,50000,20,3600
41,175,46,150000,30,3600
42,214,48,150000,30,3600
43,83,43,150000,30,3600
44,450,49,150000,30,3600
45,346,42,150000,30,3600
46,213,44,150000,30,3600
47,453,50,150000,30,3600
48,69,45,200000,30,3600
49,429,47,200000,30,3600
50,753,37,100000,30,3600
