id,digimonId,unknown1,price,level,unknown3
1,626,1,1,1,3600
2,37,2,1,1,3600
3,398,3,1,1,3600
4,700,4,1,1,3600
5,305,5,1,1,3600
6,719,8,1,1,3600
7,77,6,1,1,3600
8,14,7,1,1,3600
9,309,10,1,1,3600
10,369,9,1,1,3600
11,714,17,1,1,3600
12,748,18,1,1,3600
13,208,12,1,1,3600
14,128,15,1,1,3600
15,64,19,1,1,3600
16,388,21,1,1,3600
17,88,11,1,1,3600
18,59,16,1,1,3600
19,134,13,1,1,3600
20,57,14,1,1,3600
21,698,20,1,1,3600
22,106,29,1,1,3600
23,43,32,1,1,3600
24,629,30,1,1,3600
25,421,27,1,1,3600
26,409,24,1,1,3600
27,375,31,1,1,3600
28,151,23,1,1,3600
29,401,22,1,1,3600
30,83,26,1,1,3600
31,39,25,1,1,3600
32,191,28,1,1,3600
33,756,39,1,1,3600
34,712,38,1,1,3600
35,69,33,1,1,3600
36,708,36,1,1,3600
37,715,35,1,1,3600
38,720,41,1,1,3600
39,210,40,1,1,3600
40,704,34,1,1,3600
41,213,46,1,1,3600
42,675,48,1,1,3600
43,699,43,1,1,3600
44,65,49,1,1,3600
45,97,42,1,1,3600
46,709,44,1,1,3600
47,24,50,1,1,3600
48,63,45,1,1,3600
49,306,47,1,1,3600
50,62,37,1,1,3600
