id,digimonId,unknown1,price,level,unknown3
0,322,1,2500,1,3600
1,84,2,2500,1,3600
2,405,3,2500,1,3600
3,22,4,2500,1,3600
4,427,5,2500,1,3600
5,20,6,2500,1,3600
6,409,7,2500,1,3600
7,379,8,2500,1,3600
8,325,9,2500,1,3600
9,737,10,2500,1,3600
10,6,11,2500,1,3600
11,369,12,2500,1,3600
12,175,13,2500,1,3600
13,712,14,2500,1,3600
14,437,15,2500,1,3600
15,211,16,2500,1,3600
16,422,17,2500,1,3600
17,85,18,2500,1,3600
18,510,19,2500,1,3600
19,47,20,2500,1,3600
20,39,21,2500,1,3600
21,148,22,2500,1,3600
22,365,23,2500,1,3600
23,382,24,2500,1,3600
24,75,25,2500,1,3600
25,127,26,2500,1,3600
26,397,27,2500,1,3600
27,135,28,2500,1,3600
28,716,29,2500,1,3600
29,209,30,2500,1,3600
30,70,31,2500,1,3600
31,398,32,2500,1,3600
32,79,33,2500,1,3600
33,512,34,2500,1,3600
34,63,35,2500,1,3600
35,40,36,2500,1,3600
36,774,37,2500,1,3600
37,10,38,2500,1,3600
38,48,39,2500,1,3600
39,747,40,2500,1,3600
40,303,41,2500,1,3600
41,117,42,2500,1,3600
42,431,43,2500,1,3600
43,778,44,2500,1,3600
44,451,45,2500,1,3600
45,754,46,2500,1,3600
46,726,47,2500,1,3600
47,23,48,2500,1,3600
48,365,49,2500,1,3600
49,417,50,2500,1,3600
