type,variation,unk3,unk4,unk5,baseHP,baseATK,baseDEF,baseINT,baseSPD,levelHP,levelATK,levelDEF,levelINT,levelSPD,battleAI,poisonResist,panicResist,paraResist,sleepResist,stunResist,dotResist,bugResist,deathResist,ATKResist,DEFResist,INTResist,SPDResist,padding1,padding2,padding3,EXP,EXPx2,YEN,YENx2,itemId1,itemChance1,itemId2,itemChance2,scanRate,unk32,unk33
9,1,8,1,0,10300,2200,4700,2500,3200,292,110,90,130,90,91,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,10,40,4,27,30,1305,10,20,209,0
9,2,8,1,0,44000,2200,2700,2500,3200,3600,90,110,90,80,92,0,100,0,0,0,100,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,209,0
10,1,8,1,0,13700,7500,5500,4000,5000,300,80,130,120,80,101,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,80,8,50,10,359,10,15,208,13
10,2,8,1,0,25200,6700,9800,7200,4500,552,72,234,216,72,102,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,80,8,-1,0,15,100,15,208,13
10,3,8,1,0,55000,7500,5500,4000,5000,1200,130,120,80,100,103,0,100,0,0,0,50,0,50,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,13
10,4,8,1,0,41100,22500,16500,12000,15000,900,240,360,360,240,104,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,8000,0,13000,0,351,10,399,5,15,208,13
12,1,8,1,0,11200,5000,4500,4500,7500,225,110,100,100,100,121,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,80,8,56,5,1111,3,15,208,0
12,2,8,1,0,50000,6000,4500,4500,7500,900,100,100,100,130,122,0,50,0,0,0,50,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
12,3,8,1,0,115000,15000,4500,4500,15300,900,100,100,100,130,123,100,100,30,30,0,30,0,100,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
13,1,8,1,0,5000,2500,3000,7500,7000,200,130,80,90,130,131,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,80,8,110,10,334,10,15,208,10
13,2,8,1,0,35000,1700,8500,12000,9000,176,110,68,76,110,132,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,4,16,80,8,110,10,334,10,15,208,10
14,1,8,1,0,13700,5500,6000,4200,4800,275,110,100,100,100,141,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,4,16,80,8,71,20,1213,5,15,208,0
14,2,8,1,0,85000,11300,18000,10000,11000,275,110,100,100,100,142,100,100,100,100,100,100,0,100,0,0,0,0,-1,-1,-1,4,16,80,8,71,20,1213,5,15,208,0
14,3,8,1,0,55000,5500,6000,4200,4800,1100,100,100,100,110,143,0,50,0,0,0,0,0,50,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,208,0
