id,condType1,condValue1,condUnk1,condType2,condValue2,condUnk2,condType3,condValue3,condUnk3,condType4,condValue4,condUnk4,condType5,condValue5,condUnk5,condType6,condValue6,condUnk6,condType7,condValue7,condUnk7,condType8,condValue8,condUnk8,condType9,condValue9,condUnk9,condType10,condValue10,condUnk10
901,1,60,0,4,150,0,5,170,0,6,135,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,1,60,0,4,120,0,6,135,0,7,150,0,8,80,0,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0
903,1,60,0,3,100,0,6,120,0,7,140,0,8,80,0,13,743,0,0,0,0,0,0,0,0,0,0,0,0,0
904,1,60,0,4,200,0,6,150,0,7,150,0,8,40,0,9,100,0,12,27,0,12,135,0,0,0,0,0,0,0
905,1,60,0,4,140,0,5,140,0,6,140,0,8,80,0,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0
761,1,9,0,4,30,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,1,9,0,4,30,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,1,9,0,4,30,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,1,9,0,4,30,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,1,9,0,4,30,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,13,732,0,1,55,0,2,1600,0,5,150,0,7,150,0,8,20,0,13,419,0,0,0,0,0,0,0,0,0,0
743,13,739,0,1,60,0,3,100,0,6,120,0,7,140,0,8,80,0,13,743,0,0,0,0,0,0,0,0,0,0
675,13,678,0,1,50,0,4,130,0,7,160,0,8,20,0,9,80,0,13,675,0,0,0,0,0,0,0,0,0,0
40,1,60,0,2,1700,0,3,140,0,6,180,0,8,80,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0
